cnpj;codCVM;codB3
28127603000178;00115;BEES3
28152272000126;469556;RECR11
28152650000171;01534;ESCE3
28152777000190;657565;SNAG11
28152777000190;657565;SNAG12
28195667000106;02095;ABCB4
28267696000136;496235;RZAT11
28500320000120;01286;VRLM4
28516301000191;509159;XPCI11
28516325000140;479802;XPIN11
28516650000103;471763;OURE11
28548288000152;517811;TRXF11
28548288000152;517811;TRXF12
28594234000123;02662;AURE3
28672087000162;00368;BARB3
28693595000127;462454;WTSP11B
28729197000113;495344;CVBI11
28737771000185;464988;ALZR11
28757546000100;464971;XPML11
28830325000110;461970;IRDM11
28851767000143;466875;HUSC11
29216463000177;465585;MGFF11
29267567000100;495603;BARI11
29299737000139;472794;RBTS11
29388352000148;01284;REEM4
29467977000103;466131;RBRR11
29506474000191;01625;LATS3
29641226000153;466123;HGRU11
29667227000177;01399;PEFX3
29780061000109;01378;SCAR3
29787928000140;465577;BTCR11
29800650000101;491888;BPRP11
29852732000191;473413;VGIR11
29852732000191;473413;VGIR12
29950060000157;02298;NRTQ3
29978814000187;02112;SULA3
30017492000199;473111;HUSI11
30048651000112;500682;PATC11
30091444000140;482684;KFOF11
30130708000128;482676;KNHY11
30166700000111;467693;RBRY11
30213493000109;02584;TEGA3
30230870000118;510981;TORD11
30248158000146;511080;LASC11
30248180000196;503185;HCTR11
30306294000145;02261;BPAC11
30317464000197;XPIE;XPIE11
30-50000661-3;BPAT;BPAT33
30540991000166;01336;HAGA4
30567216000102;542547;FATN11
30578316000126;513921;TOUR13
30578316000126;513921;TOUR11
30578316000126;513921;TOUR12
30578417000105;511129;HABT11
30579348000146;476714;DMAC11
30629603000118;491438;LVBI11
30647758000187;528358;RBHG11
30654849000140;528331;XPPR11
30-70750363-3;TS;T1SS34
30-70928253-7;GCDI;TGLT32
30723886000162;02575;MODL3
30791386000168;503193;OUFF11
30871698000181;532762;HBRH11
30982880000100;494526;JPPA11
30982974000189;522953;VXXV11
30983020000190;508306;XPSF11
31152015000107;508187;HCST11
31161410000148;532861;RBIR11
31456338000186;00326;CFLU4
31469385000164;602231;ERPA11
31547855000160;510149;VIFI11
31553627000101;02546;MBLY3
31847293000170;581380;LSPA11
31865728000100;01355;CMET4
31887401000139;492604;CRFF11
31894369000119;513105;HOFC11
31959356000180;01332;CMMA4
31962875000106;489190;PBLV11
32006821000121;525308;ARRI11
32065364000146;537977;CACR11
32203211000118;BOVB;BOVB11
32274163000159;520985;RECT11
32286411000181;01471;SLAL4
32317313000164;579254;KEVE11
32397369000176;513938;MFAI11
32397369000176;513938;MFAI12
32400250000105;589934;VCJR11
32400264000129;584924;QAMI11
32441656000136;532053;RBRI11
32527626000147;511242;NEWL11
32527683000126;515698;PLCR11
32754734000152;513563;QAGR11
32774914000104;608653;IDFI11
32784898000122;506745;HGFF11
32785497000197;02478;NTCO3
32892018000131;504386;HSML11
32903521000145;504394;SADI11
32903621000171;521922;HSLG11
32903702000171;521681;SARE11
33000118000179;01132;TMAR3
33000167000101;00951;PETR4
33000571000185;01029;WHMT3
33009911000139;00405;CRUZ3
33010760000139;00898;MULL4
33014556000196;00808;LAME3
33017039000170;01298;FCAP4
33034794000163;01175;VTEC4
33035536000100;00781;JFEN3
33040601000187;00854;MERC4
33041062000109;01101;SASG3
33041260065290;00650;VIIA3
33042730000104;00403;CSNA3
33045581000137;513423;VVPR11
33046142000149;521892;BPML11
33050071000158;00305;CBEE3
33050196000188;00382;PALF7
33067745000127;00569;ERIC4
33069766000181;00286;PTIP3
33087156000100;00855;MESB4
33102476000192;00889;MOAR3
33111246000190;01120;TCNO3
33113309000147;02002;VLID3
33123118000166;01456;IMPE4
33130691000105;02624;PORT3
33161340000153;01059;SGEN4
33200049000147;00670;HOOT4
33228024000151;01107;WLMM4
33256439000139;01846;UGPA3
33261561000101;00533;ECIS3
33376989000191;02418;IRBR3
33386210000119;01088;SOND5
33390170000189;00265;ACES4
33412081000196;00998;RPMG3
33433665000148;00318;DOCA4
33453598000123;02591;RAIZ4
33467572000134;01123;TKNO4
33470022000174;00413;FGUI4
33550104000129;00817;LOSA3
33592510000154;00417;VALE3
33601138000103;VIGT;VIGT11
33611500000119;00398;GGBR4
33700394000140;01158;UBBR11
33721517000129;513415;IBFF11
33795055000194;01359;PTQS4
33839910000111;02480;VIVA3
33884145000151;521906;FLCR11
33938119000169;01661;CEGR3
