"razao_social";"setor";"ranking";"carteira";"score_ise_b3";"capital_humano";"governanca_corporativa_e_alta_gestao";"modelo_de_negocios_e_inovacao";"capital_social";"meio_ambiente";"cdp";"ano";"mudanca_do_clima_cdp_climate_change"
"CIA SANEAMENTO DE MINAS GERAIS-COPASA MG";"Utilidade Pública/Água e Saneamento";76;"Não";50,6417565478224;0,420433501683502;0,538271877243798;0,621041666666667;0,516459986772487;0,388219696969697;NA;2022;0,714
"CIA SANEAMENTO DO PARANA - SANEPAR";"Utilidade Pública/Água e Saneamento";68;"Sim";60,972081669002;0,565151515151515;0,717945631260849;0,714285714285714;0,665740740740741;0,566201298701299;NA;2022;0,429
"CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO";"Financeiro e Outros/Serviços Financeiros Diversos";46;"Sim";74,099932512615;0,629653917801584;0,786413477643595;0,87747961602206;0,752732891281399;0,685716048008262;NA;2022;0,714
"COGNA EDUCAÇÃO S.A.";"Consumo Cíclico/Diversos/Serviços Educacionais";70;"Sim";59,214049475497;0,541313131313131;0,685536176115886;0,702857142857143;0,598681972789116;0,595454545454545;NA;2022;0,429
"Companhia Brasileira de Alumínio";"Materiais Básicos/Mineração/Minerais Metálicos";5;"Sim";86,020661535777;0,780450336700337;0,866519874926804;0,895059523809524;0,7875;0,831709956709957;NA;2022;1
"COSAN S.A.";"Petróleo, Gás e Biocombustíveis/Exploração, Refino e Distribuição";38;"Sim";75,7758146561329;0,665243895717974;0,824751402182008;0,708563614780201;0,766442827565581;0,727347862981559;NA;2022;0,854199276140652
"CPFL ENERGIA S.A.";"Utilidade Pública/Energia Elétrica (Distribuição)";6;"Sim";84,8736938622123;0,741867418592885;0,90788535053539;0,974894685458128;0,833968538720174;0,919805638426158;NA;2022;0,714
"CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";17;"Sim";80,2796096623731;0,765204124579125;0,802861476327282;0,886577380952381;0,815443121693122;0,689690476190476;NA;2022;0,857
"DEXCO S.A.";"Materiais Básicos/Madeira e Papel/Madeira";28;"Sim";77,6192538741452;0,701083754208754;0,843389118932597;0,945952380952381;0,714434523809524;0,738295454545454;NA;2022;0,714
"DIAGNOSTICOS DA AMERICA S.A.";"Saúde/Serv.Méd.Hospit.,Análises e Diagnósticos";69;"Sim";59,8693600574288;0,655850168350168;0,755876636447289;0,629613095238095;0,758223497732426;0,762727272727273;NA;2022;0,429
